"fecha","mes","division","ponderacion","var_mensual","var_anio_corrido","var_anual"
2026-01-01,"Enero","Alimentos Y Bebidas No Alcohólicas",15.05,1.66,1.66,5.11
2026-01-01,"Enero","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",33.12,0.23,0.23,4.59
2026-01-01,"Enero","Bebidas Alcohólicas Y Tabaco",1.7,1.79,1.79,7.58
2026-01-01,"Enero","Bienes Y Servicios Diversos",5.36,0.79,0.79,5.23
2026-01-01,"Enero","Educación",4.41,0,0,7.36
2026-01-01,"Enero","Información Y Comunicación",4.33,0.06,0.06,1.48
2026-01-01,"Enero","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",4.19,1.5,1.5,4.12
2026-01-01,"Enero","Prendas De Vestir Y Calzado",3.98,0.18,0.18,2.45
2026-01-01,"Enero","Recreación Y Cultura",3.79,0.5,0.5,2.54
2026-01-01,"Enero","Restaurantes Y Hoteles",9.43,2.94,2.94,9.01
2026-01-01,"Enero","Salud",1.71,1.21,1.21,7.38
2026-01-01,"Enero","Transporte",12.93,2.14,2.14,5.79
2026-02-01,"Febrero","Alimentos Y Bebidas No Alcohólicas",15.05,1.3,2.98,5.84
2026-02-01,"Febrero","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",33.12,0.45,0.68,3.85
2026-02-01,"Febrero","Bebidas Alcohólicas Y Tabaco",1.7,1.14,2.95,7.76
2026-02-01,"Febrero","Bienes Y Servicios Diversos",5.36,1.02,1.82,5.45
2026-02-01,"Febrero","Educación",4.41,5.64,5.64,7.44
2026-02-01,"Febrero","Información Y Comunicación",4.33,0.01,0.07,1.51
2026-02-01,"Febrero","Muebles, Artículos Para El Hogar Y Para La Conservación Ordinaria Del Hogar",4.19,1.23,2.75,4.73
2026-02-01,"Febrero","Prendas De Vestir Y Calzado",3.98,0.7,0.87,2.61
2026-02-01,"Febrero","Recreación Y Cultura",3.79,0.08,0.58,1.68
2026-02-01,"Febrero","Restaurantes Y Hoteles",9.43,1.38,4.36,9.61
2026-02-01,"Febrero","Salud",1.71,0.94,2.16,7.82
2026-02-01,"Febrero","Transporte",12.93,1.07,3.24,5.27
2026-03-01,"Marzo","Alimentos Y Bebidas No Alcohólicas",15.05,1.27,4.29,6.27
2026-03-01,"Marzo","Alojamiento, Agua, Electricidad, Gas Y Otros Combustibles",33.12,0.85,1.54,4.15
2026-03-01,"Marzo","Bebidas Alcohólicas Y Tabaco",1.7,-0.37,2.57,6.75
